geocodigo_1,geocodigo_2,distancia,AER,FER,HID,ROD,FRO
2111300,2611606,10.832338533020934,True,False,False,False,False
2211001,2611606,8.447761732806221,True,False,False,False,False
2304400,2611606,5.652834903408882,True,False,False,False,False
2307304,2611606,4.517257538484531,True,False,False,False,False
2408003,2611606,3.7664535314438425,True,False,False,False,False
2408102,2611606,2.2352494127425615,True,False,False,False,False
2504009,2611606,1.295717137728077,True,False,False,False,False
2507507,2611606,0.9141980134927199,True,False,False,False,False
2604106,2611606,1.1139604043508815,True,False,False,False,False
2605459,2611606,4.851197575754091,True,False,False,False,False
2611101,2611606,5.804249065505448,True,False,False,False,False
2704302,2611606,1.8032951354004942,True,False,False,False,False
2800308,2611606,3.6164557598820517,True,False,False,False,False
2913606,2611606,7.951009358575388,True,False,False,False,False
2924009,2611606,3.6069597964259796,True,False,False,False,False
2611606,2925303,9.386515594891199,True,False,False,False,False
3170206,2611606,17.256832381544694,True,False,False,False,False
3205309,2611606,13.421217918203222,True,False,False,False,False
3509502,2611606,19.348359841982223,True,False,False,False,False
3543402,2611606,18.43217879876663,True,False,False,False,False
3549904,2611606,18.731132235391836,True,False,False,False,False
4106902,2611606,22.589750562815627,True,False,False,False,False
4108304,2611606,26.322138984015975,True,False,False,False,False
4113700,2611606,22.32445354970569,True,False,False,False,False
4115200,2611606,22.963749854608295,True,False,False,False,False
2611606,4205407,23.85591432730877,True,False,False,False,False
4209102,2611606,22.98572780180311,True,False,False,False,False
4211306,2611606,23.346377556716664,True,False,False,False,False
2611606,4314902,27.405177808060493,True,False,False,False,False
5002704,2611606,23.32483353393423,True,False,False,False,False
5103403,2611606,22.524615809815423,True,False,False,False,False
5208707,2611606,16.78730552549598,True,False,False,False,False
2604106,2704302,1.381680575336041,True,False,False,False,False
2605459,2704302,6.653103963104094,True,False,False,False,False
2800308,2704302,1.8622472153572183,True,False,False,False,False
2924009,2704302,2.518290038427261,True,False,False,False,False
2704302,2925303,7.5836511276017875,True,False,False,False,False
3170206,2704302,15.617088083730915,True,False,False,False,False
3543402,2704302,16.715325164479264,True,False,False,False,False
3549805,2704302,17.654605762522774,True,False,False,False,False
4108304,2704302,24.644386826632847,True,False,False,False,False
4113700,2704302,20.630473871541728,True,False,False,False,False
2800308,1506807,19.59747086155091,True,False,False,False,False
2605459,2800308,8.452603082701767,True,False,False,False,False
2800308,3170206,13.771300892084207,True,False,False,False,False
2800308,3205309,9.936322609469812,True,False,False,False,False
2800308,4106902,18.97706399155205,True,False,False,False,False
2800308,4314902,23.78890435625496,True,False,False,False,False
2903904,2903201,1.9591968570084022,True,False,False,False,False
2903201,2911709,3.061895168119719,True,False,False,False,False
2903904,2911709,1.1562408544583194,True,False,False,False,False
2800308,2913606,4.364284357947555,True,False,False,False,False
2903201,2913606,6.52557726108674,True,False,False,False,False
2913606,2925303,1.6377456004460902,True,False,False,False,False
3509502,2913606,11.513103753480136,True,False,False,False,False
4106902,2913606,14.752792898955313,True,False,False,False,False
2800308,2925303,5.870829766249575,True,False,False,False,False
2932507,2925303,1.1499208170134079,True,False,False,False,False
3127701,2925303,3.7718334001316034,True,False,False,False,False
3131307,2925303,4.603729190664912,True,False,False,False,False
3143302,2925303,4.803623136331232,True,False,False,False,False
3170206,2925303,9.537751398513203,True,False,False,False,False
3506003,2925303,11.591886382576364,True,False,False,False,False
3543402,2925303,9.943376515760315,True,False,False,False,False
3549805,2925303,11.203091418949352,True,False,False,False,False
4113700,2925303,13.913858608961302,True,False,False,False,False
2927408,1302603,23.67923305990507,True,False,False,False,False
2927408,1400100,27.221061878242935,True,False,False,False,False
2927408,1501402,15.253581648279816,True,False,False,False,False
2927408,1506807,19.34513090464914,True,False,False,False,False
2927408,2111300,11.89037484937354,True,False,False,False,False
2927408,2211001,8.970539598075957,True,False,False,False,False
2927408,2304400,9.248946997894686,True,False,False,False,False
2927408,2307304,5.830160041110863,True,False,False,False,False
2927408,2408102,7.854651598405086,True,False,False,False,False
2927408,2507507,6.883919985747809,True,False,False,False,False
2927408,2605459,10.952851531326893,True,False,False,False,False
2927408,2611101,4.1227542354522155,True,False,False,False,False
2927408,2611606,6.116774187534165,True,False,False,False,False
2927408,2704302,4.34274854848767,True,False,False,False,False
2927408,2800308,2.501289151549604,True,False,False,False,False
2927408,2903201,6.562029921918944,True,False,False,False,False
